latitude,longitude,depth,mag,id,place,type
18.32883333,-67.9845,97.86,3.4,pr71394573,"52 km ESE of Punta Cana, Dominican Republic",earthquake
18.1185,-67.13966667,12.9,3.03,pr71394563,"2 km SSW of Hormigueros, Puerto Rico",earthquake
17.96583333,-67.38733333,23.43,2.68,pr71394558,"21 km W of Pole Ojea, Puerto Rico",earthquake
60.5478,-146.9078,19.5,2.8,ak02318nu5un,"37 km SSW of Tatitlek, Alaska",earthquake
41.4478,77.4532,10,4.6,us6000jjkp,"80 km SSE of Kadzhi-Say, Kyrgyzstan",earthquake
36.6674,67.7,59.493,4,us6000jjkl,"3 km S of Khulm, Afghanistan",earthquake
-17.0039,-71.5028,94.822,4.3,us6000jjk4,"28 km ENE of Cocachacra, Peru",earthquake
18.57183333,-67.352,16.07,2.81,pr71394533,Mona Passage,earthquake
62.9547,-149.6454,76.5,3.9,ak02317c6fu9,Central Alaska,earthquake
19.153,-155.372,30.08,3.1,hv73313432,"12 km ESE of Pāhala, Hawaii",earthquake
57.338,-33.2601,10,5.3,us6000jjj3,Reykjanes Ridge,earthquake
57.3763,-33.374,10,5.2,us6000jjj0,Reykjanes Ridge,earthquake
58.2445,-155.1756,37.2,2.7,ak02317b0760,Alaska Peninsula,earthquake
-12.4691,166.9634,212.274,4.9,us6000jjim,"168 km NNW of Sola, Vanuatu",earthquake
2.8087,126.8523,40.28,4.6,us6000jjik,"175 km NW of Tobelo, Indonesia",earthquake
50.6252,-172.6345,13.384,5.1,us6000jjid,"205 km SSE of Atka, Alaska",earthquake
30.5315,137.5483,480.991,4.5,us6000jjgm,"Izu Islands, Japan region",earthquake
-5.6296,154.2556,128.292,4.5,us6000jjgk,"155 km WNW of Panguna, Papua New Guinea",earthquake
-22.2328,-67.309,189.68,4.4,us6000jjg6,"118 km NE of San Pedro de Atacama, Chile",earthquake
-17.8522,-173.4025,35,4.8,us6000jjfu,"107 km NE of Neiafu, Tonga",earthquake
61.307,-146.8654,20.2,2.6,ak023178f2fd,"34 km NW of Valdez, Alaska",earthquake
23.2115,123.3863,10,4.9,us6000jjfs,"144 km SSE of Yonakuni, Japan",earthquake
11.6697,43.9143,10,4.8,us6000jjdl,"75 km ESE of Obock, Djibouti",earthquake
32.7456665,-100.6529869,6.773966471,3.2,tx2023bunm,"15 km NE of Hermleigh, Texas",earthquake
32.75115967,-100.6594179,6.284871419,2.6,tx2023bumz,"15 km NE of Hermleigh, Texas",earthquake
-30.254,-178.6685,135.699,6,us6000jjcy,"Kermadec Islands, New Zealand",earthquake
19.1126,-66.3113,28,3.46,pr2023026000,"71 km N of Brenas, Puerto Rico",earthquake
32.9615,-116.3011667,10.43,2.5,ci40162055,"26km SW of Ocotillo Wells, CA",earthquake
38.8055,-122.8088303,1.28,2.51,nc73837546,"6km NW of The Geysers, CA",earthquake
2.874,127.1574,59.198,4.9,us6000jjce,"158 km NW of Tobelo, Indonesia",earthquake
31.69239017,-104.2946447,7.211303711,2.5,tx2023bucz,"54 km S of Whites City, New Mexico",earthquake
-0.1167,-77.4795,10,4.1,us6000jjbm,Ecuador,earthquake
2.8733,126.965,35,5.7,us6000jjbj,"171 km NW of Tobelo, Indonesia",earthquake
16.6078,-25.6214,10,5.3,us6000jjbh,"74 km SW of Porto Novo, Cabo Verde",earthquake
-30.4621,-178.5405,35,4.5,us6000jjbd,"Kermadec Islands, New Zealand",earthquake
-1.9745,-79.9816,77.663,4.6,us6000jjb9,Ecuador,earthquake
36.0873,70.2599,128.709,4.1,us6000jjb5,"64 km SSE of Farkhār, Afghanistan",earthquake
19.18366667,-155.4955,34.29,2.7,hv73312942,"2 km SW of Pāhala, Hawaii",earthquake
-16.9679,-69.5808,190.929,4.3,us6000jjb1,Peru-Bolivia border region,earthquake
36.7775,-121.4841667,4.73,2.81,nc73837451,"9km SSE of San Juan Bautista, CA",earthquake
18.08833333,-66.05266667,21.82,2.5,pr71394463,"6 km N of Yaurel, Puerto Rico",earthquake
12.48,40.5288,10,4.3,us6000jjan,"92 km NW of Semera, Ethiopia",earthquake
40.392,-125.2368333,9.72,2.6,nc73837406,"81km W of Petrolia, CA",earthquake
29.7569,102.0783,10,4.9,us6000jjai,"29 km SSE of Kangding, China",earthquake
-24.019,179.9833,514.333,4.5,us6000jjae,south of the Fiji Islands,earthquake
20.216,146.1963,35,4.7,us6000jja4,Mariana Islands region,earthquake
37.507,72.2651,191.644,4,us6000jj9h,"61 km N of Khandūd, Afghanistan",earthquake
29.7984,102.0643,10,4.4,us6000jj9c,"Western Sichuan, China",earthquake
29.6191,102.1184,10,4.4,us6000jj97,"45 km SSE of Kangding, China",earthquake
29.6746,102.1543,10,4.4,us6000jj94,"41 km SSE of Kangding, China",earthquake
29.7128,102.0765,10,4.5,us6000jj99,"34 km SSE of Kangding, China",earthquake
-28.3524,-175.9795,10,5,us6000jj8y,Kermadec Islands region,earthquake
29.7656,102.0473,10,5.5,us6000jj8s,"27 km SSE of Kangding, China",earthquake
2.8058,127.3046,50.39,4.5,us6000jj8q,Molucca Sea,earthquake
38.8208333,-122.795,2.96,2.89,nc73837161,"6km NW of The Geysers, CA",earthquake
19.04966667,-155.4255,37.08,3.21,hv73312697,"Island of Hawaii, Hawaii",earthquake
35.7891,79.8617,10,5.3,us6000jj6p,"146 km S of Hotan, China",earthquake
2.8851,126.9928,45.547,4.6,us6000jj7q,"170 km NW of Tobelo, Indonesia",earthquake
57.5059,-154.934,40.5,3.9,ak02315lg1dw,"Kodiak Island region, Alaska",earthquake
-31.4512,-178.1953,37.76,5,us6000jj6h,Kermadec Islands region,earthquake
-6.1056,155.1407,158.785,4.8,us6000jj6a,"44 km WNW of Panguna, Papua New Guinea",earthquake
44.9052,80.9957,10,4.1,us6000jj63,"95 km N of Huocheng, China",earthquake
55.754,-158.5617,56.2,2.5,ak02315kagu7,"40 km ESE of Perryville, Alaska",earthquake
41.2102,84.2142,10,4.6,us6000jj5y,"southern Xinjiang, China",earthquake
-5.5069,153.6635,42.747,4.6,us6000jj5v,"201 km SE of Kokopo, Papua New Guinea",earthquake
35.7757,28.5931,25.889,5.9,us6000jj5k,"62 km SE of Lárdos, Greece",earthquake
19.16583333,-155.502,35.05,2.74,hv73312562,"4 km SSW of Pāhala, Hawaii",earthquake
-20.2971,-177.6661,494.538,4.4,us6000jj4m,Fiji region,earthquake
18.3958,-68.8306,140,3.84,pr2023025003,"15 km ESE of La Romana, Dominican Republic",earthquake
33.8978333,-118.6956667,13.44,2.75,ci40161431,"15km S of Malibu Beach, CA",earthquake
33.883,-118.6923333,10.98,2.9,ci40161407,"17km S of Malibu Beach, CA",earthquake
33.8863333,-118.7026667,13.83,3.61,ci40161287,"16km S of Malibu Beach, CA",earthquake
35.8515,-97.19116667,7.98,3.53,ok2023bspx,Oklahoma,earthquake
33.885,-118.7045,14.71,4.19,ci40161279,"16km S of Malibu Beach, CA",earthquake
-3.4826,-80.7592,34.065,4.4,us6000jj3z,"23 km NNW of Zorritos, Peru",earthquake
19.14716667,-155.369,30.36,3.59,hv73312432,"13 km ESE of Pāhala, Hawaii",earthquake
19.4056,-65.8381,27,3.9,pr2023025002,"107 km NNE of San Juan, Puerto Rico",earthquake
37.5478333,-118.8758333,6.66,2.55,nc73836951,"13km SE of Mammoth Lakes, CA",earthquake
19.22716713,-155.423996,31.93000031,2.69000006,hv73312382,"Island of Hawaii, Hawaii",earthquake
18.5828,-66.7998,13,3.63,pr2023025001,"11 km NNE of Hatillo, Puerto Rico",earthquake
18.1205,-67.13883333,12.09,2.99,pr71394363,"2 km SSW of Hormigueros, Puerto Rico",earthquake
12.9459,-88.7273,67.408,4.6,us6000jj31,offshore El Salvador,earthquake
41.5,-112.1718333,6.87,2.79,uu60530292,"7 km SW of Corinne, Utah",earthquake
-26.3612,-71.3386,19.321,4.3,us6000jj2x,"128 km W of Diego de Almagro, Chile",earthquake
18.43,-66.3895,112,3.68,pr2023025000,"1 km S of Vega Baja, Puerto Rico",earthquake
56.3377,114.3667,10,4,us6000jj2v,"33 km W of Taksimo, Russia",earthquake
9.2148,126.5496,35,4.6,us6000jj2r,"40 km E of Cortes, Philippines",earthquake
40.5713333,-124.2338333,9.23,2.53,nc73836866,"3km ESE of Ferndale, CA",earthquake
59.0989,-153.6504,101.3,3.1,ak02315d4dt4,"70 km SE of Pope-Vannoy Landing, Alaska",earthquake
34.7861,14.2138,10,4.1,us6000jj2f,"118 km SSW of Żurrieq, Malta",earthquake
37.5881,141.6819,45.602,4.8,us6000jj1u,"61 km E of Namie, Japan",earthquake
19.26916695,-155.4111633,32.86999893,2.5,hv73312127,"10 km NE of Pāhala, Hawaii",earthquake
18.86466667,-65.3465,11.06,3.18,pr71394323,"62 km N of Culebra, Puerto Rico",earthquake
27.9123,139.453,507.551,4.6,us6000jj1l,"Bonin Islands, Japan region",earthquake
31.68213056,-104.394701,6.131567383,2.6,tx2023brpj,"54 km S of Whites City, New Mexico",earthquake
34.8994,14.3274,10,5.3,us6000jj05,"104 km S of Żurrieq, Malta",earthquake
3.1707,127.0414,28.893,5.3,us6000jj00,"192 km NW of Tobelo, Indonesia",earthquake
31.66936265,-104.378976,6.131567383,2.8,tx2023brot,"56 km S of Whites City, New Mexico",earthquake
2.9579,127.2868,40.251,4.5,us6000jizz,"157 km NNW of Tobelo, Indonesia",earthquake
31.6676906,-104.3889197,7.391259766,2.7,tx2023brok,western Texas,earthquake
31.67159174,-104.3897618,6.131567383,3.5,tx2023brob,"55 km S of Whites City, New Mexico",earthquake
2.999,127.0786,52.052,4.4,us6000jizd,"174 km NW of Tobelo, Indonesia",earthquake
-21.6237,-68.4797,121.452,4.5,us6000jiz1,"102 km NNE of Calama, Chile",earthquake
-26.7346,-63.118,596.117,6.4,us6000jiyj,"31 km WSW of Campo Gallo, Argentina",earthquake
40.4476667,-124.0195,23.54,2.69,nc73836746,"9km SE of Rio Dell, CA",earthquake
19.17499924,-155.4996643,34.25,2.47,hv73311792,"3 km SW of Pāhala, Hawaii",earthquake
3.5382,128.5469,10,5.2,us6000jiy0,"208 km NNE of Tobelo, Indonesia",earthquake
50.0876,142.5264,10,4.5,us6000jixw,"44 km NNW of Smirnykh, Russia",earthquake
60.2295,-151.613,60.1,2.6,ak02313y09hm,"12 km W of Clam Gulch, Alaska",earthquake
60.815,-151.6609,71.9,2.6,ak02313wyr96,"24 km NW of Nikiski, Alaska",earthquake
3.0692,126.9846,35,4.9,us6000jiwc,"187 km NW of Tobelo, Indonesia",earthquake
60.9904,-150.9893,11.7,3.3,ak02313woh1x,"11 km SE of Tyonek, Alaska",earthquake
19.2801,-64.39,36,3.82,pr2023024000,"113 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake
19.0253334,-155.4049988,32.31000137,2.56,hv73311597,"18 km ESE of Naalehu, Hawaii",earthquake
2.8233,127.0129,35,4.5,us6000jiw4,"164 km NW of Tobelo, Indonesia",earthquake
52.532,160.2688,35,4.4,us6000jiw2,"125 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake
-21.3068,-68.3886,118.147,4.6,us6000jivz,"138 km NNE of Calama, Chile",earthquake
18.25716667,-67.40433333,13.4,3.06,pr71394233,Mona Passage,earthquake
2.8408,127.2582,35,4.7,us6000jivy,"148 km NW of Tobelo, Indonesia",earthquake
19.03483391,-155.414505,35.29000092,3.15,hv73311482,"17 km ESE of Naalehu, Hawaii",earthquake
19.05433273,-155.409668,34.74000168,2.68,hv73311477,"17 km E of Naalehu, Hawaii",earthquake
17.968,-65.35033333,33.79,2.74,pr71394218,"19 km SE of Esperanza, Puerto Rico",earthquake
29.5974,81.6522,25.227,5.6,us6000jivm,Nepal,earthquake
58.7763,-153.1704,62.9,3.1,ak02313twszm,"Kodiak Island region, Alaska",earthquake
17.927,-66.856,13.33,2.47,pr71394208,"6 km SSE of Maria Antonia, Puerto Rico",earthquake
19.05266762,-155.4071655,34.72000122,2.63,hv73311422,"18 km E of Naalehu, Hawaii",earthquake
60.8036,-144.8644,38.3,2.9,ak02313snd2a,"56 km ENE of Cordova, Alaska",earthquake
-22.1207,-175.4364,43.479,4.7,us6000jiv5,"100 km SSW of ‘Ohonua, Tonga",earthquake
37.2088,-97.8154,5,2.6,us6000jiv0,"3 km ENE of Freeport, Kansas",earthquake
2.8173,126.9755,53.755,4.5,us6000jiuy,"166 km NW of Tobelo, Indonesia",earthquake
19.04116631,-155.4158325,31.39999962,2.81,hv73311287,"17 km E of Naalehu, Hawaii",earthquake
60.2015,-150.9461,55.6,3,ak02313s004b,"23 km SE of Kasilof, Alaska",earthquake
19.33099937,-155.5025024,2.839999914,2.56,hv73311277,"14 km N of Pāhala, Hawaii",earthquake
2.657,126.8553,49.8,4.3,us6000jiut,"164 km NW of Tobelo, Indonesia",earthquake
2.873,126.9762,48.303,4.5,us6000jiuq,"170 km NW of Tobelo, Indonesia",earthquake
42.0325,-124.457,-0.43,2.65,uw61894547,"14 km W of Brookings, Oregon",earthquake
2.7674,127.1561,35,4.5,us6000jiui,"149 km NW of Tobelo, Indonesia",earthquake
-20.6561,-177.6509,382.398,4.4,us6000jiuj,"259 km WNW of Haveluloto, Tonga",earthquake
2.8152,127.0691,35,4.9,us6000jiud,Molucca Sea,earthquake
2.9666,127.1382,35,4.5,us6000jiua,"167 km NW of Tobelo, Indonesia",earthquake
2.9174,127.1702,35,4.6,us6000jiu4,"161 km NW of Tobelo, Indonesia",earthquake
2.949,127.1119,35,5.4,us6000jitx,"167 km NW of Tobelo, Indonesia",earthquake
2.8291,126.8647,35,4.7,us6000jitw,"176 km NW of Tobelo, Indonesia",earthquake
42.03933333,-124.3936667,6.47,2.65,uw61894537,"9 km W of Brookings, Oregon",earthquake
2.8162,126.9434,35,5.8,us6000jitq,"168 km NW of Tobelo, Indonesia",earthquake
45.8392,143.2519,332.997,4.1,us6000jitp,"95 km SSE of Korsakov, Russia",earthquake
2.7647,126.9115,19.977,5.1,us6000jiti,Molucca Sea,earthquake
18.29833333,-65.74066667,127.66,3.36,pr71394148,"5 km SSW of Ramos, Puerto Rico",earthquake
43.3128,-127.2549,10,3,us6000jit7,off the coast of Oregon,earthquake
-5.4748,104.3869,81.614,4.5,us6000jit5,"90 km SW of Kotabumi, Indonesia",earthquake
-30.5569,-71.8736,26.391,3.9,us6000jisz,"64 km W of Ovalle, Chile",earthquake
-22.6311,-66.3455,256.607,4.2,us6000jisy,"67 km W of Abra Pampa, Argentina",earthquake
-18.3802,-177.8302,567.066,4.4,us6000jit2,Fiji region,earthquake
69.5383,-144.7274,1.9,4,ak02312e4ly8,"78 km SSW of Kaktovik, Alaska",earthquake
20.29383333,-156.6108333,4.54,2.51,hv73311012,"43 km SSW of Mākena, Hawaii",earthquake
2.8806,127.0996,11.958,5.5,us6000jirz,"162 km NW of Tobelo, Indonesia",earthquake
19.03549957,-155.412674,32.38000107,2.57,hv73310947,"17 km ESE of Naalehu, Hawaii",earthquake
18.84816667,-64.62883333,11.03,3.18,pr71394133,Virgin Islands,earthquake
2.7517,126.938,35.081,5,us7000j6e6,Molucca Sea,earthquake
2.7595,127.0544,49.772,4.6,us7000j6cn,"155 km NW of Tobelo, Indonesia",earthquake
-5.512,147.1636,199.263,4.6,us7000j6ci,"135 km N of Lae, Papua New Guinea",earthquake
2.9642,127.0078,57.251,4.5,us7000j6cd,"176 km NW of Tobelo, Indonesia",earthquake
3.0087,127.0747,35,4.7,us7000j6cb,"Pulau-Pulau Talaud, Indonesia",earthquake
37.1093333,-121.5168333,5.65,3.62,nc73836266,"9km ENE of San Martin, CA",earthquake
24.8127,93.0266,10,5.1,us7000j6c8,"2 km NE of Lakhipur, India",earthquake
-6.9082,126.6054,452.334,4.4,us7000j6c7,Banda Sea,earthquake
18.857,-65.001,14.35,3,pr71394128,"57 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
35.0331,14.1929,10,5.1,us7000j6bz,"92 km SSW of Qrendi, Malta",earthquake
-23.3485,-179.5499,565.089,4.6,us7000j6by,south of the Fiji Islands,earthquake
63.1496,-150.8705,132.5,3,ak023127d17g,"61 km SE of Denali National Park, Alaska",earthquake
57.7218,-153.1781,52.7,3,ak0231266o9d,"23 km SW of Port Lions, Alaska",earthquake
-23.0448,171.6843,10,4.9,us7000j6bp,southeast of the Loyalty Islands,earthquake
18.007,-67.1566,7,3.52,pr2023023004,Puerto Rico,earthquake
19.2256,-65.8093,122,3.91,pr2023023003,"88 km N of Suárez, Puerto Rico",earthquake
19.5396,-65.7353,107,3.93,pr2023023001,"123 km N of Suárez, Puerto Rico",earthquake
19.4815,-65.78,82,3.95,pr2023023002,Puerto Rico region,earthquake
24.1828,125.3303,28.301,4.2,us7000j6b4,"68 km S of Hirara, Japan",earthquake
17.8768,-66.8725,11,3.6,pr2023023000,Puerto Rico region,earthquake
-57.6946,-23.6704,10,5.1,us7000j6aw,South Sandwich Islands region,earthquake
23.5127,142.916,40.884,5.2,us7000j6at,"Volcano Islands, Japan region",earthquake
57.4307,-154.9686,51.1,2.9,ak023122tcv7,"34 km WSW of Karluk, Alaska",earthquake
2.8162,127.2403,49.437,4.6,us7000j6aq,"147 km NW of Tobelo, Indonesia",earthquake
40.4136667,-124.6001667,16.97,2.46,nc73836101,"28km WNW of Petrolia, CA",earthquake
17.9555,-66.98566667,7.56,2.95,pr71394028,"6 km ESE of La Parguera, Puerto Rico",earthquake
17.9585,-66.98933333,8.18,2.57,pr71394018,"6 km ESE of La Parguera, Puerto Rico",earthquake
6.6759,126.7806,121.003,4.7,us7000j6ab,"54 km SE of Lukatan, Philippines",earthquake
17.9575,-66.87783333,18.13,2.53,pr71394003,Puerto Rico,earthquake
-38.0325,176.3596,208.954,4.3,us7000j6a6,"15 km NE of Rotorua, New Zealand",earthquake
14.0872,-91.3552,69.093,4.6,us7000j6a4,Guatemala,earthquake
38.5957,99.0242,11.667,4.1,us7000j6a5,"129 km WSW of Zhangye, China",earthquake
40.522,-124.4258333,17.94,2.87,nc73836031,"15km WSW of Ferndale, CA",earthquake
36.5956,70.8713,213.86,4.4,us7000j6a0,"Hindu Kush region, Afghanistan",earthquake
13.019,-90.9649,10,4.4,us7000j69y,"101 km S of Puerto San José, Guatemala",earthquake
-7.1661,155.9732,117.158,5,us7000j69w,"108 km SSE of Panguna, Papua New Guinea",earthquake
68.0847,-153.2298,11.111,2.6,us7000j69u,northern Alaska,earthquake
38.7456,-97.028,5,2.8,us7000j69t,"7 km NE of Hope, Kansas",earthquake
17.965,-66.8715,16.51,2.85,pr71393978,"2 km SE of Maria Antonia, Puerto Rico",earthquake
18.095,-67.02,20.76,2.67,pr71393963,Puerto Rico,earthquake
-19.1467,-177.285,390.161,4.6,us7000j69j,Fiji region,earthquake
18.09816667,-67.0365,21.75,2.73,pr71393948,Mona Passage,earthquake
2.8805,127.1184,35,4.5,us7000j69f,Molucca Sea,earthquake
2.742,127.0444,35,4.7,us7000j69g,"155 km NW of Tobelo, Indonesia",earthquake
-7.3974,128.475,162.532,4.6,us7000j692,"204 km NE of Lospalos, Timor Leste",earthquake
40.3401667,-124.8648333,8.49,2.65,nc73835936,"49km W of Petrolia, CA",earthquake
18.95383333,-65.06866667,101.1,3.39,pr71393933,"69 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
31.61302295,-103.9802503,8.329602051,3,tx2023bnpw,western Texas,earthquake
18.1068,-67.0268,18,3.93,pr2023022001,"3 km NE of San Germán, Puerto Rico",earthquake
18.82633333,-65.53733333,143.72,3.43,pr71393873,"53 km NNE of Luquillo, Puerto Rico",earthquake
19.6721,-65.7734,15.051,2.8,us7000j68e,"137 km N of Suárez, Puerto Rico",earthquake
32.23114014,-103.0882003,14.69730632,2.7,tx2023bnec,New Mexico,earthquake
63.5757,-149.8644,122.3,2.6,ak02310js80y,"49 km WNW of Cantwell, Alaska",earthquake
-2.6107,140.6554,29.072,4.7,us7000j67f,"3 km ESE of Abepura, Indonesia",earthquake
36.365,-89.49,7.39,2.66,nm60507521,Tennessee,earthquake
17.9505,-66.95866667,9.56,2.59,pr71393833,"5 km WSW of Guánica, Puerto Rico",earthquake
-3.6832,144.1303,10,4.5,us7000j673,"near the north coast of New Guinea, Papua New Guinea",earthquake
19.05716705,-155.4221649,35.77000046,3.12,hv73309987,"16 km E of Naalehu, Hawaii",earthquake
18.015,-66.892,10.31,2.53,pr71393828,"1 km W of Palomas, Puerto Rico",earthquake
2.7282,127.0041,61.864,4.6,us7000j66q,"157 km NW of Tobelo, Indonesia",earthquake
-6.5137,129.4549,214.845,4.9,us7000j66k,Banda Sea,earthquake
-15.2559,-75.6919,23.472,4.5,us7000j66j,"58 km WNW of San Juan, Peru",earthquake
-2.8853,127.7646,41.986,4.6,us7000j66h,"100 km NNW of Ambon, Indonesia",earthquake
31.61560975,-103.9970738,8.908032227,2.8,tx2023bmtf,western Texas,earthquake
17.9775,-66.83816667,16.48,2.61,pr71393823,"2 km SW of Indios, Puerto Rico",earthquake
38.8604,22.9215,10.051,4.6,us7000j667,"10 km W of Loutrá Aidhipsoú, Greece",earthquake
53.3381,-169.311,130.449,4.8,us7000j65z,"53 km NW of Nikolski, Alaska",earthquake
-21.0091,-173.7549,10,5,us7000j65p,"129 km ENE of ‘Ohonua, Tonga",earthquake
2.8146,127.0272,47.016,4.4,us7000j65t,"162 km NW of Tobelo, Indonesia",earthquake
19.0683,-64.736,15,4.09,pr2023022000,"81 km N of Cruz Bay, U.S. Virgin Islands",earthquake
36.10466667,-97.837,6.78,2.5,ok2023bmls,"5 km E of Hennessey, Oklahoma",earthquake
40.3412,-127.7028,10,2.9,us7000j65i,"292 km W of Ferndale, California",earthquake
58.7598,-137.4467,10,3,us7000j65e,"90 km NW of Elfin Cove, Alaska",earthquake
1.9718,98.9862,137.876,4.2,us7000j65h,"northern Sumatra, Indonesia",earthquake
39.7531667,-124.0403333,3.13,2.52,nc73835521,"18km W of Cape Vizcaino, CA",earthquake
17.86783333,-67.00933333,11.81,2.55,pr71393758,"12 km SSE of La Parguera, Puerto Rico",earthquake
6.9056,126.6926,143.798,4.5,us7000j64y,"Mindanao, Philippines",earthquake
57.3688,-33.423,10,5.3,us7000j64n,Reykjanes Ridge,earthquake
-48.9243,-8.375,10,4.9,us7000j64j,southern Mid-Atlantic Ridge,earthquake
-15.1354,-72.0068,122.588,4.3,us7000j64i,"38 km ENE of Orcopampa, Peru",earthquake
60.2602,-150.9304,61.2,2.5,ak023z305vq,"Kenai Peninsula, Alaska",earthquake
31.60928415,-103.9636918,8.548120117,3.1,tx2023bmcf,"36 km WSW of Mentone, Texas",earthquake
2.7891,127.0311,41.244,5.1,us7000j646,"160 km NW of Tobelo, Indonesia",earthquake
57.4012,-33.376,10,5.7,us7000j644,Reykjanes Ridge,earthquake
4.5702,95.0354,56.006,4.5,us7000j63x,"112 km SSW of Banda Aceh, Indonesia",earthquake
57.4518,-33.4184,10,4.8,us7000j640,Reykjanes Ridge,earthquake
57.4657,-33.3833,10,5.2,us7000j63w,Reykjanes Ridge,earthquake
15.6225,-96.1666,21.558,4.3,us7000j656,"offshore Oaxaca, Mexico",earthquake
62.8845,-151.052,107.3,2.5,ak023z19rx5,"45 km NNW of Petersville, Alaska",earthquake
-12.1992,109.1515,10,4,us7000j63p,northwest of Australia,earthquake
5.0407,-82.6392,10,4.5,us7000j63m,south of Panama,earthquake
19.5368,-65.7323,38,3.74,pr2023021005,"123 km N of Suárez, Puerto Rico",earthquake
17.55666667,-67.72233333,20.43,3.21,pr71393678,"73 km SW of Pole Ojea, Puerto Rico",earthquake
-27.3604,-176.5961,10,4.8,us6000jjqp,Kermadec Islands region,earthquake
-2.1527,102.1545,202.953,4.4,us7000j636,"85 km E of Sungai Penuh, Indonesia",earthquake
51.1198,-179.2178,35,4,us7000j63n,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
53.4144,-163.6821,47.087,3.8,us7000j634,"159 km ESE of Akutan, Alaska",earthquake
3.0787,126.8169,57.422,4.4,us7000j632,"199 km NW of Tobelo, Indonesia",earthquake
18.98766708,-155.4071655,37.25999832,2.58,hv73309337,"20 km ESE of Naalehu, Hawaii",earthquake
5.984,125.7852,80.12,4.5,us7000j631,"11 km E of Mangili, Philippines",earthquake
58.2581,-155.1717,0,2.5,ak023yyv0ux,"87 km NNW of Karluk, Alaska",earthquake
-21.599,-68.4633,144.798,4.1,us7000j62w,Chile-Bolivia border region,earthquake
32.40875244,-102.110685,9.170532227,2.5,tx2023blqw,western Texas,earthquake
-17.6822,-178.3412,567.286,4.4,us6000jjql,"251 km E of Levuka, Fiji",earthquake
60.2456,-152.1258,90.4,3.2,ak023yy9rs2,"33 km NW of Ninilchik, Alaska",earthquake
34.6894,36.4205,10,4.3,us7000j62n,"14 km E of Tallkalakh, Syria",earthquake
